888437,"Search for faculty or staff member Search for emeriti or retiree Find all departments How do I transfer to Kent State? Where do I go to apply? Search by campus: Kent State University - Excellence in Action Kent State University - Excellence in Action Excellence in Action Excellence in Action Give to kent Give to kent Steps to Apply Earth Day Celebration on Sunday, April 27 Deadline to apply is May 1. View application details here. Deadline to apply is May 1. View application details here. Free tutoring in the Academic Success Center. Learn more. Free tutoring in the Academic Success Center. Learn more. Connect with 
 
         Stark   
 
         "
888182,"Back to Student Services Types of Aid How to Apply The Office of Financial Aid offers students a financial program that seeks to impact the students' decision making process before, during, and even after they have graduated from Loma Linda University. We strive to assist students in finding and understanding the financial resources available and how these resources will impact their lives. We use the latest technology to enhance our students' experience and increase their financial knowledge. Students benefit from online forms, web-based financial aid processing, real-time requirement tracking, and the additional services and resources available via the web. If after reading the information provided on this web site you still have questions regarding financial aid, please contact us:"
888334,"A to Z Index Give to Tech Colleges and Schools Colleges and Schools How to Register for Classes How to Register for Classes Life at Tech Life at Tech Office of the Provost Office of the Provost Jobs at Tech Jobs at Tech Faculty and Staff Work at TTU! How to Apply Tips for Parents Dean of Students Info for Applicants Info for Employees 1. Use the IRS Data Retrieval Tool that is integrated with your FAFSA?(EASIEST OPTION) 1. Use the IRS Data Retrieval Tool that is integrated with your FAFSA?(EASIEST OPTION) 1. Use the IRS Data Retrieval Tool that is integrated with your FAFSA?(EASIEST OPTION) Information about the IRS Data Retrieval Tool Easy video instructions on using this option Access your FAFSA to use this option Request a copy from the IRS online ?????????????????? - View and print your transcript immediately ?????????????????? - View and print your transcript immediately -?Order them to be mailed to you -?Order them to be mailed to you -?Order them to be mailed to you 3. Contact the IRS at 1-800-908-9946 3. Contact the IRS at 1-800-908-9946 6 Steps to Filling out the FAFSA (www.ed.gov video) 6 Steps to Filling out the FAFSA (www.ed.gov video) 6 Steps to Filling out the FAFSA (www.ed.gov video) 2014-2015 7 Easy Steps to Filling out the FAFSA (YouTube video) 2014-2015 7 Easy Steps to Filling out the FAFSA (YouTube video) 2014-2015 7 Easy Steps to Filling out the FAFSA (YouTube video) 2014-2015 7 Easy Steps to Filling out the FAFSA (YouTube video) Important Information for Financial Aid Awards Click here to go to the FAFSA website! Student Consumer Information as required by the US Dept of ED Tennessee Tech's Student Financial Aid serves as a central point of reference for students who need assistance with college expenses. The Financial Aid Office helps students determine need and identify programs of financial aid that are appropriate to their specific situations. Our tuition and fees are lower than the average among four year state universities in our region, and the education you receive here will be one of the soundest investments of your lifetime. About two-thirds of all students at Tennessee Tech receive some type of financial aid from a variety of sources such as federal, state, university, and private funds. Included are scholarships, grants, loans, student employment, and assorted other awards and benefits. ACG and SMART Grant Information Return of Title IV Funds Policy Code of Conduct Add to Facebook Add to Deli.cio.us Add to StumbleUpon How do I... How do I... Cost of Attendance Cost of Attendance TTU?s TSBDC hosts small business seminar April 29 TTU?s TSBDC hosts small business seminar April 29 Retirement reception for longtime TTU chemistry professor Retirement reception for longtime TTU chemistry professor Develop your artistic side at TTU?s Center for Craft this summer Develop your artistic side at TTU?s Center for Craft this summer Putnam County?s Key wins with TTU speech and debate team Putnam County?s Key wins with TTU speech and debate team Davidson County?s Brown wins with TTU speech and debate team Davidson County?s Brown wins with TTU speech and debate team Trousdale County?s Goke wins with TTU speech and debate team Trousdale County?s Goke wins with TTU speech and debate team Williamson County?s Ritchie wins with TTU speech and debate team Williamson County?s Ritchie wins with TTU speech and debate team Michael Ananian, painting exhibition Michael Ananian, painting exhibition The University Orchestra in Concert The University Orchestra in Concert The Tech Chorale in Concert The Tech Chorale in Concert Women's softball host Eastern Kentucky  Women's softball host Eastern Kentucky  Applying for Admission Applying for Admission Applying for Scholarships Jobs at Tech Giving to Tennessee Tech Tennessee Board of Regents Click here to see our full Non-Discrimination Policy"
888293,Faculty and Staff Admission and Financial Aid Campus and Community Faculty and Staff Admission and Financial Aid Campus and Community Tuition and Fees Applying for Aid Types of Aid Meet the Staff Office of Financial Aid Give to AU Give to AU
88810,"Jump to the main content of this page Jump to the main content of this page Find information for Faculty and Staff Parents and Families Add this page Maps and Directions  Facts and History Life at Chapman Areas to Support Since 1861, Chapman University has been making it possible for students from all walks of life to enjoy the benefits of a Chapman University education. We are proud to be a part of our university?s rich heritage of service and dedication to others. Our tuition and the generosity of donors make possible our high caliber faculty, small classes, and personalized education, while our generous financial aid programs make attending Chapman a reality for all. We make every attempt to keep our students informed of new laws and regulations.? Students will be informed of changes via e-mail, letters, web page and bulletin board postings, and telephone communications. When awarding aid, Chapman University must follow all laws and regulations of the federal and state of California aid programs. Our decisions are based on these rules, the information you and your family provide, the number of applicants and the total funds available. View all News ? View all Events ? Check us out on Facebook! ? View all News ? View all Events ? Give Us a Call Maps and Directions Tuition and Aid"
888451,"Office of the President Places to Stay News and Events Applying to Moravian Athletics at Moravian Hall of Fame Opportunities to Give Ways to Give Make a Gift Online Thanks and Recognition The Campaign for Moravian Night of Stars Night of Stars Silent Auction All MacBook Pro and iPad Campus Winning History in Division III Athletics Over 50 Programs of Study / Individually Designed Majors Campus Located in Bethlehem, PA - Close to Philly, NYC & DC View the 2013 View Book View the 2013 View Book View the 2013 Overview Piece View the 2013 Overview Piece"
888215,"Skip to Navigation. Skip to Main Content. Skip to Search Form. How to Apply When to Apply How to Apply When to Apply How to Apply When to Apply How to Apply When to Apply News and Important Information Forms and Employment Handbooks Links of Interest Free Application for Federal Student Aid (FAFSA) Defense of Marriage Act (DOMA) Defense of Marriage Act (DOMA) Effective July 1, 2013, a first-time Federal Subsidized Student Loan borrower is no
 
                                        longer eligible for the Subsidized Student Loan program if he or she exceeds 150%
 
                                        of the published length necessary to graduate within an undergraduate degree program.
 
                                        The U.S. Department of Education is encouraging students to obtain undergraduate degrees
 
                                        within?a reasonable time frame. Students who change majors multiple times or, drop
 
                                        classes excessively or retake classes excessively are most likely to be affected by
 
                                        this new legislation.
 
                                      For students and/or parents who report an income relatively low for the number of
 
                                        people in their household may be selected to verify their household resources.
 
                                      Parent Income Information on FAFSA Parent Income Information on FAFSA Need help with the 2014-15 FAFSA? Check out?these online tutorials: Another useful tutorial, the 5-Minute FAFSA Overview: For more information about the 2014-2015 IRS Data Retrieval Tool: (Clicking the above links opens a new window to the UC Santa Barbara website where
 
                            the tutorial is hosted.)
 
                          Students and parents need to be aware of financial aid scams that generally take place?throughout
 
                                  the?year.? A family should be extremely wary of any company that charges money in
 
                                  order to process a financial aid application for?you.? Remember that the FAFSA (Free
 
                                  Application for Federal Student Aid) is a FREE application.? Neither the US Department
 
                                  of Education nor the University of Memphis works with any company or organization
 
                                  that would require a family to pay to apply for federal financial aid. Students and parents need to be aware of financial aid scams that generally take place?throughout
 
                                  the?year.? A family should be extremely wary of any company that charges money in
 
                                  order to process a financial aid application for?you.? Remember that the FAFSA (Free
 
                                  Application for Federal Student Aid) is a FREE application.? Neither the US Department
 
                                  of Education nor the University of Memphis works with any company or organization
 
                                  that would require a family to pay to apply for federal financial aid. Got a Question? Ask TOM University of Memphis"
888252,"Apply for Aid Cost of Attendance To learn more about the May 15 deadline, click here To learn more about the May 15 deadline, click here Fill out the FAFSA Next Steps for New Loan Borrowers The Free Application for Federal Student Aid (FAFSA) is a tool used to estimate a family's ability to pay for their student's education. However, we are well aware that sometimes situations change and last year's tax information may not always provide an accurate picture of the family's financial situation. We also know that our student population is diverse and they have many different needs. To this end, Student Financial Services has a number of procedures in which a student can reflect their family's special circumstance or outline their additional financial requirements. While we encourage those who fit into these categories to file an appeal, we ask that only complete and thoroughly documented appeals are submitted. If you should have any questions regarding this information, please contact us. We will notify you if we need a document/form from you via ZZUSIS. This request would show on your ?To Do List? in ZZUSIS. You should check your ZZUSIS ?To Do List? regularly! The ?To-Do? list can be found by going to the Student Center > Under the Financial Aid 2013-2014 or 2014-2015 tab > Click Details > then the To-Do List page will be viewable. If you are being asked to submit forms or documents, it will list them on this page. The statuses of documents/forms submitted will also display here.? How it will work Once a student registers for summer classes in the required credits, Student Financial Services will review a student?s 2013-2014 FAFSA and their current 2013-2014 WSU financial aid package (if applicable). Then, a summer financial aid award will be created and become viewable on ZZUSIS for student action. ?A student will be sent a notice to their WSU Email when this has been done. ?Important:? summer aid eligibility is based on whether a student has used all their grant and loan eligibility in the previous academic year (fall 2013 and spring 2014). Summer financial aid will deliver electronically when the student?s classes begin (the first day of the first summer class).? Your ZZUSIS ?To-Do? list shows documents and forms that the Student Financial Services office needs from you in order to continue processing your financial aid. Please realize not submitting these documents/forms?could cause delay in you receiving financial aid for the upcoming semester. On ZZUSIS, your ?To-Do? list can be found by: Clicking on Your Student Center > Under the Financial Aid 2013-2014 or 2014-2015 tab > Click Details > then the To-Do List page will be viewable. If you are a student who borrowed Direct Loans (Subsidized, Unsubsidized, and Graduate PLUS) during your college years, then you will be required to complete Exit Counseling when you graduate, fall below half-time enrollment, or if you drop all your classes at WSU. You will have a 6-month grace period before you will be required to pay back your federal student loans as long as you haven?t previously used your grace period. If you are a spring 2014 graduate, then you will see a ?GX Exit Counseling? checklist item on your ZZUSIS ?To Do? list as a reminder to complete this. Steps to Complete Exit Counseling: Go to: www.studentloans.gov. It takes about 20 minutes to do. Below are step-by-step instructions on how to process loans shown on your financial aid award. Please follow these steps so your financial aid monies can be delivered to your WSU Student Account. The below instructions are specific to the different types of loans offered by the federal government. For any questions about your financial aid, contact the Student Financial Services Office. It takes at least 48 hours to receive your loan monies after completing the required entrance loan counseling and/or master promissory note.? For questions about your WSU charges, account balances, refunds, or late fees, please contact? ?(or also known as? Subsidized and Unsubsidized Direct Stafford Loans"
888496,"Return to Home Office of the University Provost Office of the University Provost History and Mission History and Mission Rankings and Distinctions Rankings and Distinctions FDU Around the World FDU Around the World Staff and Offices Staff and Offices Silberman College of Business Silberman College of Business Advising and Support Advising and Support Visiting the University Visiting the University Tuition and Fees Tuition and Fees College at Florham College at Florham News and Events News and Events College at Florham: Division III College at Florham: Division III Financial Aid and Funding Housing Information for International Students Financial Aid and Funding International students are not eligible for federal, state or University need-based financial aid. However, international students are eligible for athletic funding (as provided by the National Collegiate Athletic Association guidelines) at the Metropolitan Campus as well as academic scholarships at both the College at Florham and the Metropolitan Campus. Please note also that since the University has limited funding available for students from other countries, all international students must give evidence of financial support for the entire period of time required to complete the degree. For additional information regarding the various forms of financial aid administered by the University, please contact the Financial Aid offices at the following numbers: (973) 443-8700 at the College at Florham or (201) 692- 2363 at the Metropolitan Campus. For those students interested in seeking employment to help support themselves financially, there are many job opportunities available both on- and off-campus for students of F-1 and J-1 immigration status: On-Campus Employment for F-1 Students Off-Campus Employment for F-1 Students Employment for J-1 Students Financial Aid and Funding Housing Information for International Students"
888307,"Search all of Drew Office of Financial Assistance Drew is very generous with financial aid and is committed to making a Drew education accessible and affordable. We also know that financing your college education can be complicated, that?s why we are with you every step of the way. You will be assigned a dedicated financial aid counselor to help you understand the process. At Drew you won?t be transferred to anonymous call centers or shuffled between counselors unfamiliar with your situation. Here is some helpful information to provide you with an overview of the financial aid process: How to Apply Financial aid is any form of monetary support that assists you in paying for college, and it comes in many forms: Grants and scholarships are gift aid that does not need to be paid back. Some forms of gift aid, especially from federal or state sources are based upon financial need and require that you file the FAFSA to determine eligibility. Loans are a form of financial aid that must be paid back with interest to the lender over an extended period of time. All students who file the FAFSA will, at a minimum, automatically qualify for a Direct Student Loan from the Federal Government. Work-Study allows students to work on or off campus. The earnings from this position are considered financial aid and not income so these earnings do not lessen your eligibility for need-based aid in the future. In order to be considered for a federal Work-Study job, you must file a FAFSA. While you may be awarded a specific amount of Work-Study eligibility, you will only earn the amount equivalent to the number of hours worked. This amount will not be deducted from your bill; rather it will be paid out incrementally, as it is earned. Work-Study funds are limited and awarded on a first-come, first served basis, so file your FAFSA early. Payment plans allow students to structure tuition payments and other fees into installments throughout the year instead of paying a lump sum at the beginning of each semester. How to Apply How to Apply The FAFSA is a federal financial aid application used by all school in the nation for undergraduate and graduate students. You complete it based on your most recent tax returns. Completing the FAFSA is the only way to: It is important to file early because some financial aid is given on a first come, first served basis. You will need to file the FAFSA each year you are enrolled in school. Learn More About the FAFSA School specific information Who can File the FAFSA? What Happens After I File the FAFSA? Your financial aid package will list all of the financial aid that you are receiving. This may include: Cost of Attendance and Overview of Aid Financial Aid Award Terms and Conditions Direct Subsidized and Direct Unsubsidized Loans Entrance and Exit Interviews View and Accept Your Award News and Events Make a Gift Graduate Division of Religion Areas of Study Areas of Study Areas of Study Graduate Division of Religion Living at Drew Dining at Drew Clubs on Campus Benefits for Alumni Find a Classmate Giving to Drew The Fund for Drew Ways to Give Make a Gift Stay in Touch Photos on Flickr Update your Information College of Liberal Arts"
